역명,주소
매봉,서울특별시 강남구 도곡2동464-1
새절,서울특별시 은평구 신사2동337-5
신용산,서울특별시 용산구 한강로2가181
노원,서울특별시 노원구 상계2동335
석계,서울특별시 노원구 월계동25-4
인덕원,경기도 안양시 동안구 관양2동1566
서울대입구,서울특별시 관악구 봉천6동979-1
을지로3가,서울특별시 중구 을지로3가70-1
중화,서울특별시 중랑구 중화동285
동두천중앙,경기도 동두천시 생연2동688
보문,서울특별시 성북구 보문동1가127-1
방배,서울특별시 서초구 방배동225
고덕,서울특별시 강동구 고덕동310
가산디지털단지,서울특별시 금천구 가산동464-4
연신내,서울특별시 은평구 갈현동439
학여울,서울특별시 강남구 대치동514
동작,서울특별시 동작구 동작동121-5
신설동,서울특별시 동대문구 신설동97-75
한양대,서울특별시 성동구 행당동산17
마곡,서울특별시 강서구 가양동531
한강진,서울특별시 서초구 방배2동2509
광명사거리,경기도 광명시 광명동158
역곡,경기도 부천시 원미구 역곡동230
경마공원,경기도 과천시 과천동646
숙대입구,서울특별시 용산구 갈월동101
마장,서울특별시 성동구 용답동99
애오개,서울특별시 마포구 아현동612
마포,서울특별시 마포구 도화2동160
양평,서울특별시 영등포구 양평동2가 33-79
오류동,서울특별시 구로구 오류1동66
원당,경기도 고양시 성사1동410-7
회기,서울특별시 동대문구 휘경동317-101
석남,인천광역시 서구 가석로 257
잠실나루,서울특별시 송파구 신천동1
원흥,경기 고양시 덕양구 원흥동
부평구청,인천광역시 부평구 길주로 지하 527
구일,서울특별시 구로구 구로1동642-7
모란,경기도 성남시 중원구 성남동1575
회룡,경기도 의정부시 호원동
사당,서울특별시 동작구 사당1동1112
뚝섬,서울특별시 성동구 성수1가656-745
월드컵경기장,서울특별시 마포구 성산2동420
도원,인천광역시 동구 금창동179-1
을지로입구,서울특별시 중구 을지로1가89-1
상수,서울특별시 성동구 성수2가300-1
봉화산,서울특별시 중랑구 신내동643-3
장한평,서울특별시 동대문구 장안동416
상봉,서울특별시 중랑구 상봉동115
망원,서울특별시 마포구 망원동378
초지,경기도 안산시 단원구 초지동27-1
산곡,인천광역시 부평구 길주로 지하379
산성,경기도 성남시 수정구 단대동4769
영등포시장,서울특별시 영등포구 영등포동 5가45
철산,경기도 광명시 철산동526
고잔,경기도 안산시 단원구 고잔동453-53
대화,경기도 고양시 일산서구 대화동2221
미아,서울특별시 강북구 미아4동71-5
의정부,경기도 의정부시 의정부2동168
신정,서울특별시 양천구 신정3동1231
구로,서울특별시 구로구 구로5동585-5
무악재,서울특별시 서대문구 홍제4동26-1
독립문,서울특별시 서대문구 현저동101
소요산,경기도 동두천시 상봉암동126
백석,경기도 고양시 일산동구 백석동629-1
